NAME,RATING,AREA,DISHES,APPROX,DISC
Thyme & Whisk4.3,4.3,"Koregaon Park, Pune",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Koji4.6,4.6,"Conrad Pune, Pune",Pan Asian₹ 4000 for two approx.,₹ 4000 for two approx.,15% Off + 25% Off
one8 Commune4.5,4.5,"Koregaon Park, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Pimlico3.4,3.4,"Koregaon Park, Pune  | View All(3) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Asia Kitchen By Mainland China4.6,4.6,"Dhole Patil Road, Pune  | View All(4) Outlets",Chinese₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
Kabana4.6,4.6,"Conrad Pune, Pune","European, Cafe₹ 3000 for two approx.",₹ 3000 for two approx.,20% Off + 25% Off
Little Italy 4.5,4.5,"Bund Garden Road, Pune  | View All(4) Outlets","Italian, Mexican₹ 1200 for two approx.",₹ 1200 for two approx.,10% Off + 25% Off
18 Degrees Rooftop Resto Lounge3.2,3.2,"Spot 18 Mall, Pimple Saudagar",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,50% Off + 25% Off
La Magia4.3,4.3,SUNDERBAN RESORT & SPA,Italian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Zeera4.6,4.6,"Conrad Pune, Pune",Indian₹ 4000 for two approx.,₹ 4000 for two approx.,15% Off + 25% Off
Ebony3.7,3.7,"St Laurn Business Hotel, Pune",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,25% Off + 25% Off
Chafa Cafe4.4,4.4,"Koregaon Park, Pune  | View All(2) Outlets",Healthy Food₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Aahar Udipi's4.7,4.7,"Sangamvadi, Pune",South Indian₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Masala Times4.6,4.6,"Camp Area, Pune",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Swig3.0,3.0,"Koregaon Park, Pune",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Garuda Restro Sky Bar2.8,2.8,"Hinjawadi, Pune","Multicuisine, Cocktail Menu₹ 1800 for two approx.",₹ 1800 for two approx.,60 Discount + 25% Off
Boho Boho5.0,5.0,"Koregaon Park, Pune",Multicuisine₹ 900 for two approx.,₹ 900 for two approx.,15% Off + 25% Off
Intactu3.7,3.7,"Hinjawadi, Pune",Multicuisine₹ 1300 for two approx.,₹ 1300 for two approx.,50% Off + 25% Off
The Daark Horse2.7,2.7,"Koregaon Park, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off + 25% Off
Savya Rasa4.8,4.8,"Koregaon Park, Pune",South Indian₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off :Payeazy
Bean Social4.0,4.0,"Shivaji Nagar, Pune",Cafe₹ 300 for two approx.,₹ 300 for two approx.,15% Off + 25% Off
Barzilla Club1.0,1.0,"Hinjawadi, Pune",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,55% Off + 25% Off
Wow! Momo4.0,4.0,"Camp Area, Pune  | View All(13) Outlets",Momos₹ 400 for two approx.,₹ 400 for two approx.,15% Off + 25% Off
Shahji's Parantha House 4.2,4.2,"Deccan Gymkhana, Pune  | View All(1) Outlets",North Indian₹ 800 for two approx.,₹ 800 for two approx.,25% Off :Payeazy
Pune Sugar Box5.0,5.0,"Conrad Pune, Pune","Bakery, Desserts₹ 1200 for two approx.",₹ 1200 for two approx.,15% Off + 25% Off
BOVI Lounge & Bar5.0,5.0,"Pashan, Pune",Multicuisine₹ 1600 for two approx.,₹ 1600 for two approx.,40% Off + 25% Off
Toscano4.5,4.5,"Koregaon Park, Pune  | View All(3) Outlets",Italian₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Puran Da Dhaba 3.9,3.9,"The Pride Hotel, Pune",North Indian₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off + 25% Off
The Rooftop Project3.9,3.9,"MG Road, Pune",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,10% Off + 25% Off
Tiger Naan5.0,5.0,"Koregaon Park, Pune","Japanese, Modern Indian₹ 1500 for two approx.",₹ 1500 for two approx.,10% Off + 25% Off
Cafe Blu4.3,4.3,Radisson Blu Pune Hinjewadi,Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,50% Off + 25% Off
11 East Street Cafe4.2,4.2,"East Street, Pune",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,10% Off + 25% Off
Santorini4.4,4.4,Hilton Garden Inn Pune Hinjawadi,"Mediterranean, Continental₹ 2400 for two approx.",₹ 2400 for two approx.,50% Off + 25% Off
Loft On The Top5.0,5.0,"Kondhwa, Pune",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,50% Off + 25% Off
Chaurahe Ke Paar3.0,3.0,"Koregaon Park, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,30% Off + 25% Off
Dario's4.0,4.0,"Koregaon Park, Pune  | View All(3) Outlets",Italian₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off :Payeazy
Kleeo4.0,4.0,"Baner, Pune",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,40% Off + 25% Off
Cafe 15A4.2,4.2,"St Laurn Business Hotel, Pune","All Day Dining, Multicuisine₹ 1500 for two approx.",₹ 1500 for two approx.,25% Off + 25% Off
GILT Club2.6,2.6,"Kharadi, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,50% Off + 25% Off
The Camden Lane4.3,4.3,"Koregaon Park, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off :Payeazy
Masu4.3,4.3,"Conrad Pune, Pune","Cocktail Menu, Finger Food₹ 3000 for two approx.",₹ 3000 for two approx.,20% Off + 25% Off
Texas Tower4.4,4.4,"Kharadi, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off + 25% Off
Casa Blanca 3.7,3.7,"The Pride Hotel, Pune",Multicuisine₹ 1150 for two approx.,₹ 1150 for two approx.,25% Off + 25% Off
X-Tasy3.2,3.2,"The Pride Hotel, Pune",Multicuisine₹ 2200 for two approx.,₹ 2200 for two approx.,25% Off + 25% Off
Ruhmani3.9,3.9,Hilton Garden Inn Pune Hinjawadi,"Indian, Mughlai₹ 3000 for two approx.",₹ 3000 for two approx.,50% Off + 25% Off
The Dragon Fly By Radisson Hinjewadi4.0,4.0,Radisson Blu Pune Hinjewadi,Pan Asian₹ 2500 for two approx.,₹ 2500 for two approx.,50% Off + 25% Off
Casablanca The Lounge3.0,3.0,"Koregaon Park, Pune",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off + 25% Off
Earth Houz4.5,4.5,"Kondhwa, Pune","Indian, North Indian₹ 1000 for two approx.",₹ 1000 for two approx.,50% Off + 25% Off
Coco Café By Cococart4.0,4.0,"Viman Nagar, Pune",Cafe₹ 800 for two approx.,₹ 800 for two approx.,35% Off + 25% Off
Highland 4.0,4.0,"Kalyani Nagar, Pune  | View All(2) Outlets",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,35% Off + 25% Off
The 7a Restaurant and Bar5.0,5.0,"Kharadi, Pune","Cocktail Menu, Multicuisine₹ 1000 for two approx.",₹ 1000 for two approx.,30% Off + 25% Off
Rio Kitchen & Bar1.6,1.6,"Hinjawadi, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,50% Off + 25% Off
Cafe Ceva Multi Cisine Restaurant.4.0,4.0,"Baner, Pune",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,40% Off + 25% Off
Annies Bar & Kitchen4.0,4.0,"Koregaon Park, Pune","Cocktail Menu, Finger Food₹ 1500 for two approx.",₹ 1500 for two approx.,15% Off + 25% Off
Gurdjieff's Restaurant & Bar4.8,4.8,"Koregaon Park, Pune","Cocktail Menu, Multicuisine₹ 1000 for two approx.",₹ 1000 for two approx.,10% Off + 25% Off
Palmoco4.0,4.0,"Koregaon Park, Pune","Cocktail Menu, Multicuisine₹ 1300 for two approx.",₹ 1300 for two approx.,15% Off + 25% Off
Tutto Bene- Health Café by Little Italy5.0,5.0,"Bund Garden Road, Pune","Continental, Italian₹ 1200 for two approx.",₹ 1200 for two approx.,10% Off + 25% Off
Talli Bar & Kitchen4.0,4.0,"Koregaon Park, Pune  | View All(2) Outlets",Multicuisine₹ 1600 for two approx.,₹ 1600 for two approx.,30% Off + 25% Off
Braun Autobahn3.7,3.7,"Viman Nagar, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,30% Off + 25% Off
Trivaz Rooftop Restro & Club4.0,4.0,Xion Mall,Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,55% Off + 25% Off
The Divine Cafe4.5,4.5,"Koregaon Park, Pune",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Addah4.2,4.2,The O Hotel Pune,North Indian₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
Harajuku 4.2,4.2,The O Hotel Pune,"Chinese, Japanese₹ 4500 for two approx.",₹ 4500 for two approx.,10% Off + 25% Off
Tuckd Away4.0,4.0,"Koregaon Park, Pune",Cafe₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Cafe 9's 4.0,4.0,"Karve Nagar, Pune",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Majlis Darbar4.0,4.0,"Camp Area, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Kwality Family Resto Bar 4.0,4.0,"Shivaji Nagar, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Delhi Grills4.0,4.0,"Koregaon Park, Pune","Mughlai, North Indian₹ 600 for two approx.",₹ 600 for two approx.,10% Off + 25% Off
L7 - Luxury Club & Kitchen4.0,4.0,"Koregaon Park, Pune",Multicuisine₹ 1400 for two approx.,₹ 1400 for two approx.,30% Off + 25% Off
Teera3.9,3.9,"Wakad, Pune",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off + 25% Off
Valour Kitchen & Bar1.0,1.0,"Kharadi, Pune",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,35% Off + 25% Off
The Cult - Terra4.1,4.1,"Magarpatta, Pune",Multicuisine₹ 1700 for two approx.,₹ 1700 for two approx.,25% Off + 25% Off
Blue Pepper3.0,3.0,The O Hotel Pune,Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
ZENZI Restaurant1.0,1.0,"Dhole Patil Road, Pune",Indian₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
Cafe Rova4.4,4.4,"Kharadi, Pune",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,30% Off + 25% Off
Sreca Rooftop Lounge2.7,2.7,"Pimple Nilakh, Pune",Multicuisine₹ 1300 for two approx.,₹ 1300 for two approx.,40% Off + 25% Off
