NAME,RATING,AREA,DISHES,APPROX,DISC
Yuki - Brewhouse and Kitchen4.6,4.6,"Koramangala, South Bengaluru","Cocktail Menu, Pan Asian₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Chairman's Restobar4.5,4.5,"Chikkabanavara, North Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
William John's Pizza4.9,4.9,"Horamavu, Bengaluru","Italian, American₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off
Garden by su4.4,4.4,"Jayanagar, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Masala Mandi4.2,4.2,"Sarjapur Road, South Bengaluru",Barbeque₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Toca3.9,3.9,"Koramangala, South Bengaluru  | View All(2) Outlets",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Brau Galie Microbrewery4.8,4.8,"Koramangala 5th Block, South Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off
Maggi Baba5.0,5.0,"Shivajinagar, Central Bengaluru",Beverages₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off :Payeazy
Romeo Cafe4.0,4.0,"Shivajinagar, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off :Payeazy
Dindigul Thalappakatti5.0,5.0,"MG Road, Central Bengaluru  | View All(10) Outlets",Multicuisine₹ 950 for two approx.,₹ 950 for two approx.,25% Off
Hatti Kaapi5.0,5.0,"Infantry Road, Central Bengaluru  | View All(4) Outlets",Multicuisine₹ 400 for two approx.,₹ 400 for two approx.,10% Off + 25% Off
Tiger Trail4.1,4.1,"Regenta Place Cunningham, Bengaluru",Indian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Burnout Cafe3.9,3.9,"Infantry Road, Central Bengaluru  | View All(1) Outlets","Continental, Multicuisine, Chinese₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
Trippy Goat Cafe4.3,4.3,"Vasanth Nagar, Central Bengaluru","Coffee and Tea, European₹ 2000 for two approx.",₹ 2000 for two approx.,10% Off + 25% Off
Bazaar4.0,4.0,Zone By The Park Infantry Bengaluru,Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
Flo3.5,3.5,"Church Street, Central Bengaluru","Multicuisine, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,45% Off + 25% Off
Ta'aam5.0,5.0,"Cunningham Road, Central Bengaluru","Arabian, North Indian₹ 600 for two approx.",₹ 600 for two approx.,25% Off :Payeazy
Monarch Cafe4.0,4.0,"Infantry Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off :Payeazy
No Limmits Lounge & Club3.5,3.5,"Brigade Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,40% Off + 25% Off
JW Kitchen4.4,4.4,"JW Marriott, Bengaluru, Central Bengaluru",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,30% Off + 25% Off
KA 01 - Rooftop Bar & Eats4.4,4.4,"Ibis Hotel, Richmond Road","Indian, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,50% Off + 25% Off
The Kabab Studio3.9,3.9,"Goldfinch Hotel, Seshadripuram",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,50% Off + 25% Off
SkyDeck By Sherlock's4.5,4.5,"MG Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
ShakesBierre4.4,4.4,"MG Road, Central Bengaluru","Cocktail Menu, Multicuisine₹ 2000 for two approx.",₹ 2000 for two approx.,10% Off + 25% Off
Tiamo4.4,4.4,Conrad Bengaluru,Multicuisine₹ 2250 for two approx.,₹ 2250 for two approx.,20% Off + 25% Off
Kenzai - Asian Kitchen And Lounge4.6,4.6,"Brigade Road, Central Bengaluru",Asian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Café Azzure4.2,4.2,"MG Road, Central Bengaluru  | View All(4) Outlets",European₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Sana-Di-Ge 4.4,4.4,"Goldfinch Hotel, Seshadripuram","Biryani, Seafood, Regional Indian₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
Punjab Grill4.2,4.2,"Ashok Nagar, Bengaluru  | View All(8) Outlets",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Kudla5.0,5.0,"Sampangi Rama Nagar, Bengaluru",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,15% Off + 25% Off
Be Luru Craft Kitchen & Bar4.0,4.0,"Sankey Road, North Bengaluru","Indian, Asian₹ 2000 for two approx.",₹ 2000 for two approx.,30% Off + 25% Off
Jalebbi4.5,4.5,"Cunningham Road, Central Bengaluru",Indian₹ 2000 for two approx.,₹ 2000 for two approx.,30% Off + 25% Off
Badmaash UB City4.3,4.3,"UB City, Central Bengaluru  | View All(4) Outlets",Indian₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Alchemy4.5,4.5,"The Chancery Pavilion, Bengaluru","Indian, Fusion₹ 2500 for two approx.",₹ 2500 for two approx.,20% Off + 25% Off
Zest4.9,4.9,"Southern Star, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,60 Discount + 25% Off
Beijing Bites4.0,4.0,"Frazer Town, Central Bengaluru  | View All(52) Outlets",Pan Asian₹ 450 for two approx.,₹ 450 for two approx.,15% Off + 25% Off
Spice It3.5,3.5,"Ibis Hotel, Richmond Road  | View All(4) Outlets",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,30% Off + 25% Off
Lumara Bar & Kitchen4.3,4.3,"Old Madras Road, East Bengaluru",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,10% Off + 25% Off
Levista Gourmet Studio5.0,5.0,"Church Street, Central Bengaluru",American₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Hard Rock Cafe4.5,4.5,"St. Marks Road, Central Bengaluru  | View All(2) Outlets","Burgers, Multicuisine₹ 2500 for two approx.",₹ 2500 for two approx.,20% Off + 25% Off
Cafe Noir4.3,4.3,"Cunningham Road, Central Bengaluru  | View All(8) Outlets",French₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Matsuri4.6,4.6,"The Chancery Hotel, Bengaluru","Japanese, Sushi₹ 2000 for two approx.",₹ 2000 for two approx.,15% Off + 25% Off
Sozo Skyline Dining4.4,4.4,"Ashok Nagar, Bengaluru","Pan Asian, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off + 25% Off
Atlas World Cafe4.4,4.4,"Vividus Hotel, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
LIT Gastropub3.7,3.7,"Church Street, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Rice Bowl3.7,3.7,"Ulsoor, East Bengaluru",Pan Asian₹ 2500 for two approx.,₹ 2500 for two approx.,30% Off + 25% Off
Kling Brewery4.5,4.5,"Church Street, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Maffei Kitchen5.0,5.0,"Cunningham Road, Central Bengaluru  | View All(2) Outlets",Lebanese₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Sea Rock Family Restaurant & Bar4.7,4.7,"Seshadripuram, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Glass Kitchen & Bar4.4,4.4,Holiday inn Bengaluru Racecourse,"Indian, Cocktail Menu₹ 2500 for two approx.",₹ 2500 for two approx.,50% Off + 25% Off
Downtown Diner4.6,4.6,"Brigade Road, Central Bengaluru","European, Mediterranean, Indian₹ 2000 for two approx.",₹ 2000 for two approx.,10% Off + 25% Off
SodaBottleOpenerWala4.4,4.4,"Lavelle Road, Central Bengaluru",Parsi₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Scottish Pub4.9,4.9,"St. Marks Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Kohinoor4.0,4.0,"St. Mark's Hotel, Bengaluru",Indian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Tandoor | A Heritage Indian Restaurant & Bar4.7,4.7,"MG Road, Central Bengaluru",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Wasabi4.0,4.0,"Brigade Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Alba4.1,4.1,"JW Marriott, Bengaluru, Central Bengaluru",Italian₹ 3500 for two approx.,₹ 3500 for two approx.,25% Off :Payeazy
Hatti Kaapi - Signature5.0,5.0,"Lavelle Road, Central Bengaluru",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Mirage4.2,4.2,"Church Street, Central Bengaluru","Multicuisine, Cocktail Menu₹ 2800 for two approx.",₹ 2800 for two approx.,25% Off + 25% Off
Mikusu4.5,4.5,Conrad Bengaluru,"Pan Asian, Asian₹ 3000 for two approx.",₹ 3000 for two approx.,15% Off + 25% Off
By Chance4.4,4.4,"Brigade Road, Central Bengaluru",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Mainland China4.4,4.4,"Church Street, Central Bengaluru  | View All(4) Outlets",Chinese₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Tottos Pizza3.5,3.5,"5th Avenue, Brigade Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Gufha Restaurant4.6,4.6,"Guttahalli, North Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Kake Di Hatti5.0,5.0,"Brigade Road, Central Bengaluru  | View All(9) Outlets",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
The Biere Club4.4,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets","Cocktail Menu, Multicuisine₹ 2000 for two approx.",₹ 2000 for two approx.,10% Off + 25% Off
Queens Restaurant5.0,5.0,"Church Street, Central Bengaluru  | View All(2) Outlets",North Indian₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Maayaa4.4,4.4,"The Courtyard by Sublime, Bengaluru",South Indian₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Nothing Before Coffee4.0,4.0,"Richmond Town, Central Bengaluru",Cafe₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Plan B3.7,3.7,"Brigade Road, Central Bengaluru  | View All(13) Outlets",American₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Spice Terrace4.5,4.5,"JW Marriott, Bengaluru, Central Bengaluru",North Indian₹ 2800 for two approx.,₹ 2800 for two approx.,15% Off + 25% Off
Street Storyss5.0,5.0,"Brigade Road, Central Bengaluru  | View All(3) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
Smoke House Deli4.4,4.4,"Lavelle Road, Central Bengaluru  | View All(2) Outlets",European₹ 2000 for two approx.,₹ 2000 for two approx.,20% Off + 25% Off
Restaurant Chef Pillai4.2,4.2,"Brigade Road, Central Bengaluru  | View All(2) Outlets",South Indian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Zodiac4.2,4.2,"Fortune Select JP Cosmos, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
The California Coffee4.0,4.0,"Ashok Nagar, Bengaluru",American₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Sherlock's Pub4.1,4.1,"Frazer Town, Central Bengaluru  | View All(4) Outlets",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
The Royal Afghan4.8,4.8,"ITC Windsor, Bengaluru",North West Frontier₹ 5500 for two approx.,₹ 5500 for two approx.,10% Off + 25% Off
Raahi Neo Kitchen & Bar4.0,4.0,"Ashok Nagar, Bengaluru",Indian₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off + 25% Off
Zodiac - The Fortune Palace4.0,4.0,"Fortune Select JP Cosmos, Bengaluru",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,25% Off + 25% Off
Dishkeyaun4.1,4.1,"Forum Rex Walk, Brigade Road","Indian, Fusion, Asian₹ 2000 for two approx.",₹ 2000 for two approx.,30% Off + 25% Off
The Coffee Shop4.0,4.0,"The Cunningham Hotel, Vasanth Nagar",Indian₹ 1000 for two approx.,₹ 1000 for two approx.,40% Off + 25% Off
Rooftop Dinning4.0,4.0,"The Cunningham Hotel, Vasanth Nagar",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,40% Off + 25% Off
Easy Tiger4.2,4.2,"Church Street, Central Bengaluru","American, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
Coastal Machali Co.4.6,4.6,"Residency Road, Central Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
Sharief Bhai Biryani4.4,4.4,"Frazer Town, Central Bengaluru  | View All(26) Outlets",Hyderabadi₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Pasta Street4.6,4.6,"Cunningham Road, Central Bengaluru  | View All(8) Outlets","Beverages, Pasta, Continental, Salad, Desserts, Healthy Food, Pizza, Italian₹ 2000 for two approx.",₹ 2000 for two approx.,10% Off + 25% Off
Tonique Restro Bar5.0,5.0,"Battrahalli, Bengaluru","Cocktail Menu, Multicuisine₹ 2000 for two approx.",₹ 2000 for two approx.,15% Off + 25% Off
Sanchez & Sriracha4.2,4.2,"UB City, Central Bengaluru  | View All(2) Outlets",Mexican₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Cahoots Classic Bar House5.0,5.0,"Brigade Road, Central Bengaluru",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,15% Off + 25% Off
Botany Brew & Kitchen4.0,4.0,"Ashok Nagar, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,25% Off + 25% Off
"Salt - Pan Indian Restaurant, Bar & Grill4.3",4.3,"UB City, Central Bengaluru  | View All(2) Outlets","Indian, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,25% Off :Payeazy
Toscano4.4,4.4,"Museum Road, Ashok Nagar, Bengaluru  | View All(9) Outlets",Italian₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Fuel Bar4.4,4.4,"The Pride Hotel, Bengaluru","Finger Food, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,15% Off + 25% Off
Cafe G Holiday inn Bengaluru Racecourse4.0,4.0,Holiday inn Bengaluru Racecourse,Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,30% Off + 25% Off
"Mad & Co, Indiranagar1.0",1.0,"Indiranagar, East Bengaluru",Cafe₹ 2000 for two approx.,₹ 2000 for two approx.,50% Off + 25% Off
Pinxx4.2,4.2,"Royal Orchid Central, Bengaluru",Multicuisine₹ 2400 for two approx.,₹ 2400 for two approx.,25% Off + 25% Off
Hoppipola3.9,3.9,"Church Street, Central Bengaluru  | View All(1) Outlets",Cocktail Menu₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Zed the Baker3.6,3.6,"Race Course Road, Central Bengaluru  | View All(5) Outlets",French₹ 2000 for two approx.,₹ 2000 for two approx.,10% Off + 25% Off
Dublin4.8,4.8,"ITC Windsor, Bengaluru",Irish₹ 3200 for two approx.,₹ 3200 for two approx.,10% Off + 25% Off
Cafe Treat 4.2,4.2,"The Pride Hotel, Bengaluru",Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,15% Off + 25% Off
Ging4.3,4.3,"Royal Orchid Central, Bengaluru","Cocktail Menu, oriental₹ 2500 for two approx.",₹ 2500 for two approx.,25% Off + 25% Off
Exotica4.3,4.3,"Banjara Hills, Hyderabad  | View All(2) Outlets",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
63 Degree Modern Regional Buffet4.1,4.1,"Gachibowli, Hyderabad",Regional Indian₹ 2400 for two approx.,₹ 2400 for two approx.,25% Off
Forefathers4.6,4.6,"Road No. 45, Jubilee Hills, Hyderabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off
The Ofen5.0,5.0,"Banjara Hills, Hyderabad","Beverages, Mexican, Italian₹ 2000 for two approx.",₹ 2000 for two approx.,20% Off + 25% Off
Golconda Pavilion4.4,4.4,"ITC Kohenur, Hyderabad","Chinese, Continental, Desserts, Finger Food, North Indian, Multicuisine₹ 2500 for two approx.",₹ 2500 for two approx.,25% Off
one8 Commune4.7,4.7,"Hitech City, Hyderabad",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off
Aster Cafe & Kitchen4.0,4.0,"Road No. 12, Banjara Hills, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,15% Off + 25% Off
Fuel Cafe4.0,4.0,"Banjara Hills, Hyderabad",Cafe₹ 800 for two approx.,₹ 800 for two approx.,15% Off + 25% Off
Pizza Zone4.0,4.0,"Habsiguda, Hyderabad  | View All(2) Outlets",Italian₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off
7 Sisters4.4,4.4,"Banjara Hills, Hyderabad  | View All(4) Outlets",North Eastern₹ 700 for two approx.,₹ 700 for two approx.,30% Off + 25% Off
Holy Basil4.5,4.5,"Radisson Blu Plaza Hotel, Hyderabad",Pan Asian₹ 1200 for two approx.,₹ 1200 for two approx.,35% Off + 25% Off
Vasaara4.0,4.0,"Banjara Hills, Hyderabad","European, South Indian₹ 1000 for two approx.",₹ 1000 for two approx.,15% Off + 25% Off
Hibacci4.4,4.4,"Banjara Hills, Hyderabad","Chinese, North Eastern, Pan Asian, Asian₹ 1250 for two approx.",₹ 1250 for two approx.,15% Off + 25% Off
Ohri's Eatmor3.8,3.8,"Banjara Hills, Hyderabad  | View All(5) Outlets",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,15% Off + 25% Off
A'La Liberty4.3,4.3,"Banjara Hills, Hyderabad","European, Indian₹ 1300 for two approx.",₹ 1300 for two approx.,10% Off + 25% Off
Hummus House5.0,5.0,"Road No. 12, Banjara Hills, Hyderabad",Mediterranean₹ 1100 for two approx.,₹ 1100 for two approx.,10% Off + 25% Off
Imli Sarai3.0,3.0,"Banjara Hills, Hyderabad",European₹ 1800 for two approx.,₹ 1800 for two approx.,20% Off + 25% Off
Habitat Cafe4.7,4.7,"Banjara Hills, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,10% Off + 25% Off
Moyaaah!4.0,4.0,"Banjara Hills, Hyderabad","European, Fast Food₹ 700 for two approx.",₹ 700 for two approx.,15% Off + 25% Off
Blu Café Lounge4.3,4.3,"Radisson Blu Plaza Hotel, Hyderabad","Bakery, Cafe₹ 900 for two approx.",₹ 900 for two approx.,30% Off + 25% Off
Mazuri Cafe4.0,4.0,"Banjara Hills, Hyderabad","European, Multicuisine₹ 1000 for two approx.",₹ 1000 for two approx.,30% Off + 25% Off
Namchi - Fusion Of Taste Buds4.2,4.2,"Banjara Hills, Hyderabad",Indian₹ 1000 for two approx.,₹ 1000 for two approx.,20% Off + 25% Off
The Octagon Cafe4.0,4.0,"Banjara Hills, Hyderabad",European₹ 1600 for two approx.,₹ 1600 for two approx.,10% Off + 25% Off
Chill and Terrace 3.9,3.9,"Radisson Blu Plaza Hotel, Hyderabad","Indian, European₹ 1500 for two approx.",₹ 1500 for two approx.,35% Off + 25% Off
La Pino'z Pizza5.0,5.0,"Road No. 12, Banjara Hills, Hyderabad  | View All(2) Outlets","Italian, Pizza₹ 400 for two approx.",₹ 400 for two approx.,10% Off + 25% Off
Pakka Local4.3,4.3,"Road No. 7, Banjara Hills, Hyderabad  | View All(4) Outlets",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,25% Off :Payeazy
Ohri's Cake Nation1.0,1.0,"Banjara Hills, Hyderabad  | View All(10) Outlets",Bakery₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Harry's The Pub4.8,4.8,"Aditya Park, Hyderabad","Finger Food, Cocktail Menu₹ 1400 for two approx.",₹ 1400 for two approx.,35% Off + 25% Off
Lemerian Workin Cafe4.0,4.0,"Road No. 12, Banjara Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Chef Inam's Steak House5.0,5.0,"Banjara Hills, Hyderabad","Barbeque, American₹ 1800 for two approx.",₹ 1800 for two approx.,25% Off :Payeazy
ZYTHUM Brewing Co.4.5,4.5,"Jubilee Hills, Hyderabad",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,25% Off + 25% Off
Verandah 4.5,4.5,"The Park, Hyderabad",Multicuisine₹ 2500 for two approx.,₹ 2500 for two approx.,40% Off + 25% Off
Cayenne 4.3,4.3,Mercure Hyderabad KCP,Multicuisine₹ 2000 for two approx.,₹ 2000 for two approx.,40% Off + 25% Off
Wow! China Bistro1.0,1.0,"Banjara Hills, Hyderabad  | View All(8) Outlets",Chinese₹ 600 for two approx.,₹ 600 for two approx.,25% Off :Payeazy
Bourbon & Breeze4.3,4.3,"Banjara Hills, Hyderabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,50% Off + 25% Off
TOS Club & Lounge4.0,4.0,"Banjara Hills, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off + 25% Off
Hydrate The Bar4.5,4.5,"Hampshire Plaza Hotel, Hyderabad","Finger Food, Cocktail Menu₹ 1100 for two approx.",₹ 1100 for two approx.,20% Off + 25% Off
Rasa by Ashoka4.6,4.6,"Best Western Ashoka, Hyderabad",Indian₹ 1500 for two approx.,₹ 1500 for two approx.,25% Off + 25% Off
Aqua 4.4,4.4,"The Park, Hyderabad","Finger Food, Cocktail Menu₹ 2500 for two approx.",₹ 2500 for two approx.,30% Off + 25% Off
Kasuall3.7,3.7,"Somajiguda, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,50% Off + 25% Off
Masala Republic by Dadu's4.5,4.5,"Banjara Hills, Hyderabad  | View All(5) Outlets",Multicuisine₹ 1100 for two approx.,₹ 1100 for two approx.,30% Off + 25% Off
Bar 41 4.5,4.5,"Radisson Blu Plaza Hotel, Hyderabad","Finger Food, Cocktail Menu₹ 2000 for two approx.",₹ 2000 for two approx.,35% Off + 25% Off
"Tre forni, Italian Restaurant & Bar4.0",4.0,"Park Hyatt, Hyderabad",Italian₹ 4000 for two approx.,₹ 4000 for two approx.,25% Off + 25% Off
Aish4.1,4.1,"The Park, Hyderabad","Indian, South Indian₹ 2400 for two approx.",₹ 2400 for two approx.,30% Off + 25% Off
The Dining Room4.1,4.1,"Park Hyatt, Hyderabad",Multicuisine₹ 3500 for two approx.,₹ 3500 for two approx.,30% Off + 25% Off
Kuchipudi3.8,3.8,"Katriya Hotels, Hyderabad",South Indian₹ 1000 for two approx.,₹ 1000 for two approx.,50% Off + 25% Off
By The Bay4.1,4.1,"Necklace Road, Hyderabad","Cocktail Menu, Multicuisine₹ 1200 for two approx.",₹ 1200 for two approx.,10% Off + 25% Off
Promenade4.1,4.1,"Aditya Park, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,35% Off + 25% Off
Palace Heights4.6,4.6,"Road No. 12, Banjara Hills, Hyderabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,20% Off + 25% Off
Zanzi Bar5.0,5.0,The Golkonda Hotel,"Finger Food, Cocktail Menu₹ 1900 for two approx.",₹ 1900 for two approx.,25% Off + 25% Off
The Terrace5.0,5.0,Mercure Hyderabad KCP,Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,40% Off + 25% Off
Rika 4.4,4.4,"Park Hyatt, Hyderabad","Asian, Japanese₹ 3000 for two approx.",₹ 3000 for two approx.,25% Off + 25% Off
MOB - Belgium Beer House4.0,4.0,"Film Nagar, Hyderabad",Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,10% Off + 25% Off
KGF - Krishna Godavari Flavours4.0,4.0,"Banjara Hills, Hyderabad",Multicuisine₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Tolly Junction Rest O Bar4.0,4.0,"Banjara Hills, Hyderabad",Multicuisine₹ 1000 for two approx.,₹ 1000 for two approx.,25% Off + 25% Off
Cuiscent 3.5,3.5,"Lakdikapul, Hyderabad",Multicuisine₹ 600 for two approx.,₹ 600 for two approx.,25% Off + 25% Off
MoXa Kitchen4.2,4.2,"Jubilee Hills, Hyderabad",Multicuisine₹ 1300 for two approx.,₹ 1300 for two approx.,35% Off + 25% Off
Cassia3.8,3.8,"Hampshire Plaza Hotel, Hyderabad",Multicuisine₹ 1200 for two approx.,₹ 1200 for two approx.,20% Off + 25% Off
24/7 Gallery Café3.5,3.5,Hyatt Place Hyderabad Banjara Hills,Multicuisine₹ 1500 for two approx.,₹ 1500 for two approx.,20% Off + 25% Off
Kismet 2.6,2.6,"The Park, Hyderabad","Finger Food, Cocktail Menu₹ 3000 for two approx.",₹ 3000 for two approx.,30% Off + 25% Off
Zouq 3.9,3.9,"Road No. 2, Banjara Hills, Hyderabad",Turkish₹ 600 for two approx.,₹ 600 for two approx.,10% Off + 25% Off
Jewel of Nizam3.8,3.8,The Golkonda Hotel  | View All(1) Outlets,Indian₹ 2200 for two approx.,₹ 2200 for two approx.,20% Off + 25% Off
Rayalaseema Ruchulu4.5,4.5,"Ameerpet, Hyderabad  | View All(4) Outlets","South Indian, Andhra₹ 800 for two approx.",₹ 800 for two approx.,10% Off + 25% Off
Little Italy3.9,3.9,"Jubilee Hills, Hyderabad  | View All(4) Outlets","Mexican, Italian₹ 1500 for two approx.",₹ 1500 for two approx.,10% Off + 25% Off
10 Biryanis5.0,5.0,"Jubilee Hills, Hyderabad","Mughlai, North Indian₹ 1200 for two approx.",₹ 1200 for two approx.,25% Off + 25% Off
Rium Cafe3.0,3.0,"Banjara Hills, Hyderabad","Chinese, Continental₹ 1200 for two approx.",₹ 1200 for two approx.,50% Off + 25% Off
Mandi King Elite Arabian Restaurant5.0,5.0,"Tolichowki, Hyderabad",Arabian₹ 1000 for two approx.,₹ 1000 for two approx.,10% Off + 25% Off
Kabul Darbar3.9,3.9,"Tolichowki, Hyderabad","Arabian, Afghani₹ 1000 for two approx.",₹ 1000 for two approx.,10% Off + 25% Off
Barbeque Spice3.9,3.9,"Abids, Hyderabad",Barbeque₹ 1500 for two approx.,₹ 1500 for two approx.,30% Off + 25% Off
Hard Rock Cafe4.1,4.1,"GVK One Mall, Banjara Hills",Multicuisine₹ 1800 for two approx.,₹ 1800 for two approx.,30% Off + 25% Off
Flavours 4.0,4.0,"Ameerpet, Hyderabad",₹ 800 for two approx.,₹ 800 for two approx.,30% Off + 25% Off
Paradise Biryani - A Legend since 19534.3,4.3,"Khairatabad, Hyderabad  | View All(25) Outlets",Biryani₹ 800 for two approx.,₹ 800 for two approx.,10% Off + 25% Off
Melange 4.0,4.0,The Golkonda Hotel,Multicuisine₹ 2200 for two approx.,₹ 2200 for two approx.,30% Off + 25% Off
